編碼,中文名,學名,亞種小名,英文名,科名,"臺灣地區遷徙屬性
（蘭嶼：蘭、綠島：綠、
龜山島：龜、本島局部地區：局）",馬祖地區遷徙屬性,金門地區遷徙屬性,東沙島遷徙屬性,特有性,臺灣保育等級
1,樹鴨,Dendrocygna javanica,無亞種分化,Lesser Whistling-Duck,雁鴨科 Anatidae,迷,無,無,迷,,
2,斑頭雁,Anser indicus,無亞種分化,Bar-headed Goose,雁鴨科 Anatidae,迷,無,無,無,,
3,灰雁,Anser anser,rubrirostris,Graylag Goose,雁鴨科 Anatidae,迷,迷,冬、稀,無,,
4,鴻雁,Anser cygnoides,無亞種分化,Swan Goose,雁鴨科 Anatidae,冬、稀,無,冬、稀,無,,
5,白額雁,Anser albifrons,frontalis,Greater White-fronted Goose,雁鴨科 Anatidae,冬、稀,過、稀,冬、稀,迷,,
6,小白額雁,Anser erythropus,無亞種分化,Lesser White-fronted Goose,雁鴨科 Anatidae,過、稀,無,無,無,,
7,寒林豆雁,Anser fabalis,middendorffii,Taiga Bean-Goose,雁鴨科 Anatidae,冬、稀,過、稀,冬、稀,迷,,
8,凍原豆雁,Anser serrirostris,serrirostris,Tundra Bean-Goose,雁鴨科 Anatidae,冬、稀,過、稀,冬、稀,迷,,
9,黑雁,Branta bernicla,nigricans,Brant,雁鴨科 Anatidae,迷,無,無,無,,
10,疣鼻天鵝,Cygnus olor,無亞種分化,Mute Swan,雁鴨科 Anatidae,迷,無,無,無,,
11,小天鵝,Cygnus columbianus,bewickii,Tundra Swan,雁鴨科 Anatidae,冬、稀,無,迷,無,,
12,黃嘴天鵝,Cygnus cygnus,無亞種分化,Whooper Swan,雁鴨科 Anatidae,迷,無,迷,無,,
13,瀆鳧,Tadorna ferruginea,無亞種分化,Ruddy Shelduck,雁鴨科 Anatidae,冬、稀,無,迷,迷,,
14,花鳧,Tadorna tadorna,無亞種分化,Common Shelduck,雁鴨科 Anatidae,冬、稀,無,迷,無,,
15,棉鴨,Nettapus coromandelianus,coromandelianus,Cotton Pygmy-Goose,雁鴨科 Anatidae,冬、稀,迷,迷,迷,,
16,鴛鴦,Aix galericulata,無亞種分化,Mandarin Duck,雁鴨科 Anatidae,留、稀/過、稀,過、稀,過、稀,迷,,II
17,巴鴨,Sibirionetta formosa,無亞種分化,Baikal Teal,雁鴨科 Anatidae,冬、稀,過、稀,過、稀,無,,II
18,白眉鴨,Spatula querquedula,無亞種分化,Garganey,雁鴨科 Anatidae,冬、稀/過、普,過、稀,冬、稀/過、不普,過、不普,,
19,琵嘴鴨,Spatula clypeata,無亞種分化,Northern Shoveler,雁鴨科 Anatidae,冬、普,過、稀,冬、不普,過、普,,
20,赤膀鴨,Mareca strepera,strepera,Gadwall,雁鴨科 Anatidae,冬、不普,過、稀,冬、稀,過、稀,,
21,羅文鴨,Mareca falcata,無亞種分化,Falcated Duck,雁鴨科 Anatidae,冬、稀,過、稀,冬、稀,無,,
22,赤頸鴨,Mareca penelope,無亞種分化,Eurasian Wigeon,雁鴨科 Anatidae,冬、普,過、稀,冬、普,冬、普,,
23,葡萄胸鴨,Mareca americana,無亞種分化,American Wigeon,雁鴨科 Anatidae,迷,無,迷,無,,
24,呂宋鴨,Anas luzonica,無亞種分化,Philippine Duck,雁鴨科 Anatidae,迷,無,無,無,,
25,花嘴鴨,Anas zonorhyncha,無亞種分化,Eastern Spot-billed Duck,雁鴨科 Anatidae,留、普/冬、不普,過、稀,留、普/冬、不普,過、稀,,
26,綠頭鴨,Anas platyrhynchos,platyrhynchos,Mallard,雁鴨科 Anatidae,冬、稀/引進種、不普,過、不普,冬、不普,過、稀,,
27,尖尾鴨,Anas acuta,無亞種分化,Northern Pintail,雁鴨科 Anatidae,冬、普,過、稀,冬、不普,冬、稀/過、不普,,
28,小水鴨,Anas crecca,"crecca, carolinensis",Green-winged Teal,雁鴨科 Anatidae,冬、普,過、不普,冬、普,冬、普,,
29,赤嘴潛鴨,Netta rufina,無亞種分化,Red-crested Pochard,雁鴨科 Anatidae,迷,無,無,無,,
30,帆背潛鴨,Aythya valisineria,無亞種分化,Canvasback,雁鴨科 Anatidae,迷,無,無,無,,
31,紅頭潛鴨,Aythya ferina,無亞種分化,Common Pochard,雁鴨科 Anatidae,冬、稀,過、稀,冬、稀,無,,
32,環頸潛鴨,Aythya collaris,無亞種分化,Ring-necked Duck,雁鴨科 Anatidae,迷,無,無,無,,
33,白眼潛鴨,Aythya nyroca,無亞種分化,Ferruginous Duck,雁鴨科 Anatidae,冬、稀,無,無,無,,
34,青頭潛鴨,Aythya baeri,無亞種分化,Baer's Pochard,雁鴨科 Anatidae,冬、稀,無,迷,無,,II
35,鳳頭潛鴨,Aythya fuligula,無亞種分化,Tufted Duck,雁鴨科 Anatidae,冬、普,過、稀,冬、稀,過、稀,,
36,斑背潛鴨,Aythya marila,marila,Greater Scaup,雁鴨科 Anatidae,冬、稀,無,冬、稀,無,,
37,小斑背潛鴨,Aythya affinis,無亞種分化,Lesser Scaup,雁鴨科 Anatidae,迷,無,無,無,,
38,長尾鴨,Clangula hyemalis,無亞種分化,Long-tailed Duck,雁鴨科 Anatidae,迷,無,無,無,,
39,鵲鴨,Bucephala clangula,clangula,Common Goldeneye,雁鴨科 Anatidae,迷,無,迷,無,,
40,白秋沙,Mergellus albellus,無亞種分化,Smew,雁鴨科 Anatidae,冬、稀,無,無,無,,
41,川秋沙,Mergus merganser,merganser,Common Merganser,雁鴨科 Anatidae,迷,無,迷,無,,
42,紅胸秋沙,Mergus serrator,無亞種分化,Red-breasted Merganser,雁鴨科 Anatidae,冬、稀,過、稀,過、稀,無,,
43,唐秋沙,Mergus squamatus,無亞種分化,Scaly-sided Merganser,雁鴨科 Anatidae,冬、稀,無,無,無,,
44,臺灣山鷓鴣,Arborophila crudigularis,無亞種分化,Taiwan Partridge,雉科 Phasianidae,留、普,無,無,無,臺灣特有種,III
